contrato,status,data_vigencia,data_checagem,verificado,dias_atraso,parcela_atual,valor_parcela,vencimento_mes_atual,data_para_checar,dias_desde_vencimento,d3_cai_proximo_mes,pode_checar,deve_checar_hoje,motivo
2188447000,Cancelado por Inadimplência,2024-08-19,2025-06-24,True,0,8,57.8,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
2352426000,Cancelado por Inadimplência,2025-02-10,2025-08-13,True,0,4,86.7,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2364649000,Cancelado por Inadimplência,2025-02-25,2025-08-27,True,0,5,115.6,2025-12-25,2025-12-28,,False,False,False,Status: Cancelado por Inadimplência
2178033000,Cancelado por Inadimplência,2024-07-19,2025-10-22,True,0,15,156.96,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
2506210000,Cancelado por Inadimplência,2025-07-07,2025-10-09,True,0,1,149.4,2025-12-07,2025-12-10,,False,True,False,Status: Cancelado por Inadimplência
2352297000,Cancelado por Inadimplência,2025-02-10,2025-08-13,True,0,6,115.6,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2284308000,Cancelado por Inadimplência,2025-01-28,2025-07-03,True,0,3,144.5,2025-12-28,2025-12-31,,False,False,False,Status: Cancelado por Inadimplência
2415270000,Cancelado por Inadimplência,2025-04-15,2025-07-17,True,0,1,57.8,2025-12-15,2025-12-18,,False,False,False,Status: Cancelado por Inadimplência
2345956000,Cancelado por Inadimplência,2025-01-30,2025-06-14,True,0,2,249.8,2025-12-30,2026-01-02,-18,True,False,False,Status: Cancelado por Inadimplência
2264534000,Cancelado por Inadimplência,2024-12-17,2025-04-24,True,0,2,144.5,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
2264924000,Cancelado por Inadimplência,2024-12-18,2025-04-24,True,0,2,57.8,2025-12-18,2025-12-21,,False,False,False,Status: Cancelado por Inadimplência
2163876000,Cancelado por Inadimplência,2024-06-10,2025-10-14,True,0,14,182.28,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
1928684000,Cancelado por Inadimplência,2023-06-12,2025-05-15,True,0,21,404.64,2025-12-12,2025-12-15,,False,False,False,Status: Cancelado por Inadimplência
2265653000,Cancelado por Inadimplência,2024-12-19,2025-04-24,True,0,2,86.7,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
1996010000,Cancelado por Inadimplência,2023-10-05,2025-06-06,True,0,18,87.72,2025-12-05,2025-12-08,,False,True,False,Status: Cancelado por Inadimplência
2050464000,Cancelado por Inadimplência,2024-02-07,2025-06-11,True,0,14,307.64,2025-12-07,2025-12-10,,False,True,False,Status: Cancelado por Inadimplência
2180917000,Cancelado por Inadimplência,2024-07-29,2025-06-11,True,0,8,57.8,2025-12-29,2026-01-01,-17,True,False,False,Status: Cancelado por Inadimplência
2159634000,Em dia,2024-05-28,2025-09-03,False,0,16,70.7,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2351255000,Cancelado por Inadimplência,2025-02-07,2025-08-09,True,0,4,249.8,2025-12-07,2025-12-10,,False,True,False,Status: Cancelado por Inadimplência
1976911000,Cancelado por Inadimplência,2023-08-30,2025-06-03,True,0,19,223.86,2025-12-30,2026-01-02,-18,True,False,False,Status: Cancelado por Inadimplência
2283480000,Cancelado por Inadimplência,2025-01-27,2025-08-29,True,0,5,94.52,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2260355000,Cancelado por Inadimplência,2024-12-16,2025-06-18,True,0,4,57.8,2025-12-16,2025-12-19,,False,False,False,Status: Cancelado por Inadimplência
